time,hurs,mrsos,evspsbl
14949.5,79.479935,--,3.83E-05
14980.5,76.75822,--,6.99E-05
15010,78.92179,--,6.37E-05
15039.5,80.20033,--,4.93E-05
15070,79.57053,--,5.90E-05
15100.5,72.84063,--,7.15E-05
15131,74.26063,--,6.54E-05
15161.5,73.06109,--,6.13E-05
15192.5,71.44761,--,5.06E-05
15223,78.98354,--,3.53E-05
15253.5,74.6858,--,4.22E-05
15284,77.823135,--,4.07E-05
15314.5,76.46598,--,6.02E-05
15345.5,80.00808,--,5.86E-05
15375,80.61754,--,5.27E-05
15404.5,78.3024,--,6.84E-05
15435,77.404884,--,6.01E-05
15465.5,73.812035,--,5.68E-05
15496,72.664314,--,5.20E-05
15526.5,74.00898,--,5.72E-05
15557.5,72.970566,--,4.93E-05
15588,78.15202,--,3.44E-05
15618.5,70.78503,--,6.16E-05
15649,75.81564,--,5.02E-05
15679.5,78.82981,--,4.84E-05
15710.5,77.051926,--,7.04E-05
15740,81.69927,--,7.39E-05
15769.5,82.033066,--,6.36E-05
15800,77.87347,--,6.31E-05
15830.5,75.52006,--,4.46E-05
15861,74.70957,--,6.72E-05
15891.5,72.67502,--,5.83E-05
15922.5,72.19851,--,5.09E-05
15953,70.90499,--,4.98E-05
15983.5,74.11833,--,4.12E-05
16014,73.01134,--,5.29E-05
16044.5,77.64226,--,5.25E-05
16075.5,76.99435,--,6.36E-05
16105,74.2189,--,7.56E-05
16134.5,74.98137,--,6.23E-05
16165,77.58831,--,5.67E-05
16195.5,78.143776,--,5.41E-05
16226,71.3815,--,7.27E-05
16256.5,70.77669,--,6.62E-05
16287.5,71.03661,--,6.19E-05
16318,73.64517,--,5.19E-05
16348.5,75.925186,--,3.81E-05
16379,77.70104,--,3.97E-05
16409.5,76.38155,--,6.01E-05
16440.5,77.032036,--,5.40E-05
16470,75.42095,--,7.35E-05
16499.5,80.13952,--,6.46E-05
16530,74.86382,--,6.65E-05
16560.5,74.835625,--,5.64E-05
16591,72.95472,--,5.44E-05
16621.5,74.527725,--,5.61E-05
16652.5,71.42538,--,5.79E-05
16683,72.02693,--,5.07E-05
16713.5,71.983635,--,4.37E-05
16744,76.80948,--,4.69E-05
16774.5,77.89083,--,5.38E-05
16805.5,81.14244,--,6.75E-05
16835,81.22079,--,6.23E-05
16864.5,81.531235,--,7.05E-05
16895,75.5408,--,6.19E-05
16925.5,72.58627,--,6.42E-05
16956,73.90696,--,5.49E-05
16986.5,71.21122,--,7.67E-05
17017.5,72.28814,--,5.96E-05
17048,71.45711,--,5.10E-05
17078.5,74.888824,--,5.34E-05
17109,82.53158,--,3.27E-05
17139.5,80.259056,--,4.59E-05
17170.5,78.735466,--,5.46E-05
17200,79.31816,--,7.72E-05
17229.5,77.70224,--,7.04E-05
17260,76.360565,--,5.60E-05
17290.5,76.17321,--,5.47E-05
17321,71.47452,--,7.15E-05
17351.5,74.45207,--,5.79E-05
17382.5,71.81768,--,5.47E-05
17413,73.79719,--,4.09E-05
17443.5,73.16915,--,4.49E-05
17474,75.02406,--,4.75E-05
17504.5,77.33962,--,5.90E-05
17535.5,77.93239,--,5.63E-05
17565,75.82531,--,7.79E-05
17594.5,77.53326,--,6.68E-05
17625,79.95496,--,4.97E-05
17655.5,76.52439,--,4.55E-05
17686,70.9142,--,7.06E-05
17716.5,71.41814,--,6.95E-05
17747.5,70.10696,--,5.63E-05
17778,73.319534,--,4.55E-05
17808.5,73.168335,--,4.36E-05
17839,79.9668,--,3.68E-05
17869.5,74.46079,--,5.30E-05
17900.5,72.52031,--,6.56E-05
17930,75.32975,--,8.33E-05
17959.5,75.33694,--,8.10E-05
17990,77.03475,--,5.62E-05
18020.5,74.92165,--,5.83E-05
18051,74.59868,--,4.54E-05
18081.5,71.57081,--,5.14E-05
18112.5,74.44557,--,4.86E-05
18143,72.91936,--,4.60E-05
18173.5,70.98409,--,3.75E-05
18204,74.75301,--,5.17E-05
18234.5,73.95228,--,6.44E-05
18265.5,75.805824,--,6.57E-05
18295,78.65723,--,6.55E-05
18324.5,83.30892,--,4.87E-05
18355,77.319435,--,5.45E-05
18385.5,71.64436,--,7.48E-05
18416,73.19034,--,6.59E-05
18446.5,71.161316,--,7.77E-05
18477.5,70.99212,--,5.34E-05
18508,73.972115,--,4.10E-05
18538.5,81.702194,--,3.62E-05
18569,78.243454,--,3.91E-05
18599.5,76.26164,--,5.01E-05
18630.5,75.88447,--,6.89E-05
18660,79.646965,--,6.44E-05
18689.5,81.34553,--,5.53E-05
18720,76.82048,--,5.81E-05
18750.5,76.88482,--,5.59E-05
18781,76.63543,--,4.80E-05
18811.5,73.60079,--,7.06E-05
18842.5,74.65416,--,6.28E-05
18873,71.297295,--,4.95E-05
18903.5,72.95383,--,4.35E-05
18934,76.39665,--,4.27E-05
18964.5,76.36627,--,5.31E-05
18995.5,80.98335,--,6.50E-05
19025,80.14303,--,6.32E-05
19054.5,75.83711,--,5.64E-05
19085,77.221016,--,5.25E-05
19115.5,76.42846,--,5.34E-05
19146,76.2497,--,5.08E-05
19176.5,71.57059,--,4.83E-05
19207.5,74.52238,--,4.84E-05
19238,71.27007,--,5.46E-05
19268.5,76.86198,--,3.99E-05
19299,75.52097,--,4.92E-05
19329.5,81.105,--,4.17E-05
19360.5,74.44419,--,5.63E-05
19390,76.12114,--,4.93E-05
19419.5,75.45037,--,5.10E-05
19450,77.94637,--,6.49E-05
19480.5,70.517975,--,6.55E-05
19511,71.15528,--,6.40E-05
19541.5,73.61449,--,6.21E-05
19572.5,68.005424,--,5.45E-05
19603,70.438065,--,4.91E-05
19633.5,71.81371,--,4.76E-05
19664,75.934456,--,4.65E-05
19694.5,78.10558,--,4.95E-05
19725.5,78.63529,--,5.95E-05
19755,80.38713,--,6.34E-05
19784.5,79.35558,--,5.49E-05
19815,76.28766,--,5.59E-05
19845.5,75.24293,--,5.43E-05
19876,71.80374,--,6.16E-05
19906.5,71.873436,--,7.41E-05
19937.5,75.6963,--,4.63E-05
19968,72.82816,--,5.05E-05
19998.5,71.611885,--,5.08E-05
20029,75.37748,--,4.24E-05
20059.5,77.04512,--,5.55E-05
20090.5,80.2469,--,6.13E-05
20120,79.5904,--,7.08E-05
20149.5,78.83679,--,6.40E-05
20180,77.98728,--,5.19E-05
